data.stations.capacity,data.stations.eightd_has_key_dispenser,data.stations.electric_bike_surcharge_waiver,data.stations.external_id,data.stations.has_kiosk,data.stations.is_charging,data.stations.lat,data.stations.lon,data.stations.name,data.stations.rental_methods,data.stations.short_name,data.stations.station_id,last_updated,ttl
23,false,false,"0b10d842-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.532163217578436,-73.55854287743568,"de Rouen / Fullum","CREDITCARD, KEY","6126","115",,
23,false,false,"0b10d956-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53789110878484,-73.6182153224945,"Henri-Julien / de Castelnau","CREDITCARD, KEY","6127","116",,
11,false,false,"0b10db49-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.535295480380306,-73.55116009712219,"Hogan / Ontario","CREDITCARD, KEY","6128","117",,
15,false,false,"0b10dc80-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.5367,-73.56081,"Sherbrooke / Frontenac","CREDITCARD, KEY","6130","118",,
39,false,false,"0b10dd95-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.533924,-73.562425,"Fullum / Sherbrooke","CREDITCARD, KEY","6131","119",,
19,false,false,"0b10e3e7-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53673838509649,-73.56516659259796,"Chapleau / Terrasse Mercure","CREDITCARD, KEY","6133","120",,
15,false,false,"0b10e507-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52997069129102,-73.56305301189423,"de Bordeaux / Sherbrooke","CREDITCARD, KEY","6129","121",,
39,false,false,"0b10e60a-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.51007154847701,-73.57075229287146,"Ste-Famille / Sherbrooke","CREDITCARD, KEY","6202","122",,
39,false,false,"0b10fc41-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.507401678946415,-73.57844352722168,"University / Prince-Arthur","CREDITCARD, KEY","6047","123",,
23,false,false,"0b1102f9-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50975858607626,-73.57610732316971,"Hutchison / Prince-Arthur","CREDITCARD, KEY","6079","124",,
23,false,false,"0b110726-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.541719808901306,-73.56517732143402,"William-Tremblay / Molson","CREDITCARD, KEY","6022","125",,
23,false,false,"0b1108eb-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.4912258547597,-73.58763009309769,"Atwater / Sherbrooke","CREDITCARD, KEY","6093","126",,
27,false,false,"0b110a66-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.533348,-73.605834,"Drolet / Beaubien","CREDITCARD, KEY","6913","127",,
19,false,false,"0b1111b6-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.531957916826386,-73.60700100660324,"de Gaspé / Beaubien","CREDITCARD, KEY","6915","128",,
19,false,false,"0b111347-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.544513,-73.571564,"Parc du Pélican (2e avenue / St-Joseph)","CREDITCARD, KEY","6916","129",,
31,false,false,"0b1115c4-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53879934493943,-73.58870029449461,"Marquette / des Carrières","CREDITCARD, KEY","6918","130",,
15,false,false,"0b111c93-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.54740777921938,-73.60766887664795,"Marquette / Jean-Talon","CREDITCARD, KEY","6923","131",,
15,false,false,"0b111e08-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.5517742671765,-73.60347837231528,"Louis-Hémon / Jean-Talon","CREDITCARD, KEY","6925","132",,
23,false,false,"0b111f7c-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50171494932855,-73.57413053512573,"Metcalfe / de Maisonneuve","CREDITCARD, KEY","6072","133",,
23,false,false,"0b1124b9-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.522402573414084,-73.58117669820786,"Drolet / Marie-Anne","CREDITCARD, KEY","6075","134",,
11,false,false,"0b112724-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53840340979245,-73.56196403503418,"Bercy / Rachel","CREDITCARD, KEY","6134","135",,
35,false,false,"0b112dc7-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.5291345371163,-73.55923354625702,"Larivière / de Lorimier","CREDITCARD, KEY","6132","136",,
19,false,false,"0b112f3f-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52761627,-73.5891147,"Métro Laurier (Rivard / Laurier)","CREDITCARD, KEY","6136","137",,
19,false,false,"0b11347f-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52966629503036,-73.56733649969101,"Gauthier / Papineau","CREDITCARD, KEY","6137","138",,
11,false,false,"0b1135f2-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.5316746986144,-73.5653704404831,"Gauthier / de Lorimier","CREDITCARD, KEY","6138","139",,
15,false,false,"0b113d5d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53292625574653,-73.56377989053726,"Gauthier / Parthenais","CREDITCARD, KEY","6139","140",,
15,false,false,"0b1142a8-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.5298015824607,-73.5702896118164,"Marquette / Rachel","CREDITCARD, KEY","6140","141",,
19,false,false,"0b1147d6-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53354753725336,-73.5668671131134,"des Érables / Rachel","CREDITCARD, KEY","6141","142",,
31,false,false,"0b114d1c-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.527794785525096,-73.57193917036057,"Calixa-Lavallée / Rachel","CREDITCARD, KEY","6142","143",,
29,false,false,"0b115254-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52689,-73.57264,"Rachel / de Brébeuf","CREDITCARD, KEY","6143","144",,
23,false,false,"0b1159ca-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52451761488783,-73.57197672128677,"du Parc-La Fontaine / Duluth","CREDITCARD, KEY","6145","145",,
23,false,false,"0b115f14-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52286653749578,-73.56837719678879,"du Parc-La Fontaine / Roy","CREDITCARD, KEY","6146","146",,
23,false,false,"0b116d41-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52479,-73.56545,"Calixa-Lavallée / Sherbrooke","CREDITCARD, KEY","6147","147",,
27,false,false,"0b116ed6-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52782062255108,-73.56595113873482,"Émile-Duployé / Sherbrooke","CREDITCARD, KEY","6148","148",,
19,false,false,"0b116ff4-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53867,-73.56936,"Chapleau / du Mont-Royal","CREDITCARD, KEY","6149","149",,
19,false,false,"0b117115-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53711414,-73.5710031,"Messier / du Mont-Royal","CREDITCARD, KEY","6150","150",,
23,false,false,"0b11945c-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53585348307891,-73.5720545053482,"des Érables / du Mont-Royal","CREDITCARD, KEY","6151","151",,
23,false,false,"0b1195c7-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53418509490266,-73.57358872890472,"Chabot / du Mont-Royal","CREDITCARD, KEY","6152","152",,
19,false,false,"0b119728-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.532674,-73.571776,"Cartier / Marie-Anne","CREDITCARD, KEY","6153","153",,
